variable_original,puntuacion_media,puntuacion_max,targets_2_metodos,targets_3_metodos,targets_puntuacion_090,targets_puntuacion_095
COCFLAG,0.5296227962279623,0.6592865928659286,0,0,0,0
SNYATTAK,0.509020090200902,0.6576465764657646,0,0,0,0
IRPMNICDEP,0.5563755637556376,0.6564165641656418,0,0,0,0
BKSEXNR,0.49149241492414925,0.6560065600656007,0,0,0,0
CIGYRBFR,0.6207462074620747,0.6551865518655187,0,0,0,0
CIGARMLU,0.5219864698646987,0.6531365313653136,0,0,0,0
CIGREGWK,0.5880483804838048,0.6529315293152931,0,0,0,0
DRVINMETH,0.6050123001230012,0.6500615006150062,0,0,0,0
CNSNMYR,0.6101886018860189,0.6486264862648626,0,0,0,0
UD5OPIANY2,0.5294177941779418,0.6482164821648216,0,0,0,0
IRKRATREC,0.5884583845838458,0.6469864698646987,0,0,0,0
RSKCOCWK,0.5584255842558425,0.6451414514145142,0,0,0,0
FUCD221,0.5505330053300533,0.6449364493644937,0,0,0,0
IMFNDLEVER,0.4650471504715047,0.6443214432144321,0,0,0,0
FUCIG18,0.5875358753587536,0.6437064370643707,0,0,0,0
GRSKHERTRY,0.5385916359163592,0.6437064370643707,0,0,0,0
MILTSPPAR,0.4723759737597376,0.6426814268142681,0,0,0,0
CIGCRAVE,0.6177224272242722,0.6418614186141861,0,0,0,0
MEDICARE,0.4595120951209512,0.6408364083640836,0,0,0,0
RSKHERTRY,0.5672919229192293,0.6404264042640426,0,0,0,0
ALCYR,0.4369618696186962,0.6396063960639607,0,0,0,0
FUCGR18,0.6215662156621565,0.6396063960639605,0,0,0,0
ALCFLAG,0.4020090200902009,0.6391963919639196,0,0,0,0
BKSMASLT,0.4742209922099221,0.6391963919639196,0,0,0,0
OTHRSEDANY,0.5626281262812628,0.6387863878638785,0,0,0,0
IRHH65_2,0.5037925379253793,0.6383763837638377,0,0,0,0
CIGINCRS,0.5944546945469456,0.6381713817138172,0,0,0,0
CIGREGDY,0.5872283722837228,0.6377613776137762,0,0,0,0
SYNMRJEVR,0.5929171791717918,0.6357113571135712,0,0,0,0
CIGFNLKE,0.5859983599835998,0.6350963509635097,0,0,0,0
EDFAM18,0.4601271012710127,0.6342763427634276,0,0,0,0
MILTPARNT,0.4676609266092661,0.6340713407134072,0,0,0,0
WRKNUMJOB2,0.5554530545305453,0.6338663386633866,0,0,0,0
TOBALCYR,0.43398933989339894,0.6334563345633456,0,0,0,0
SNYSELL,0.49723247232472323,0.6318163181631816,0,0,0,0
IRSYNSTMREC,0.40600656006560065,0.6287412874128742,0,0,0,0
IRMEDICR,0.4530545305453054,0.6277162771627717,0,0,0,0
SEVYRTRQANY,0.5395653956539566,0.6273062730627306,0,0,0,0
UDYR5OPPRANY,0.5022550225502255,0.6252562525625256,0,0,0,0
BKDRUNK,0.46145961459614593,0.6240262402624026,0,0,0,0
ILLALCFLG,0.3765887658876589,0.6223862238622386,0,0,0,0
IRNPCOLDREC,0.5887658876588766,0.6219762197621976,0,0,0,0
FUECSTMO21,0.5866133661336613,0.6219762197621975,0,0,0,0
MILTCHLDR,0.4943624436244362,0.6219762197621975,0,0,0,0
GRSKCOCWK,0.5494054940549405,0.6213612136121361,0,0,0,0
RSKBNGDLY,0.5007687576875769,0.6207462074620747,0,0,0,0
CIGCRAGP,0.5898421484214842,0.6203362033620335,0,0,0,0
TRQMAINRSN,0.5800533005330053,0.6203362033620335,0,0,0,0
RXLORAANY,0.41810168101681017,0.6191061910619107,0,0,0,0
KRATREC,0.5597068470684706,0.6191061910619106,0,0,0,0
IRSEVPNRMIS,0.4982574825748257,0.6186961869618696,0,0,0,0
