variable,n_estados_train,n_nan_train,pct_nan_train,pct_mas_frecuente_train,modulo,tipo_variable
WRKDHRSWK2,66,0,0.0,40.50847009698988,EMPLOYMENT,Numérica con rango documentado
WRK35WKUS,7,0,0.0,46.35429054679035,EMPLOYMENT,Categórica con pocas categorías
WRKRSNNOT,11,0,0.0,90.5811464362166,EMPLOYMENT,Categórica con número moderado de categorías
WRKRSNJOB,13,0,0.0,61.04812495044795,EMPLOYMENT,Categórica con número moderado de categorías
WRKEFFORT,6,0,0.0,88.5911361293903,EMPLOYMENT,Categórica con pocas categorías
WRKDPSTYR,7,0,0.0,61.04812495044795,EMPLOYMENT,Categórica con pocas categorías
WRKSELFEM,8,0,0.0,58.93126139697138,EMPLOYMENT,Categórica con pocas categorías
WRKNUMJOB2,9,0,0.0,49.570548904569364,EMPLOYMENT,Categórica con pocas categorías
WRKNJBPYR,7,0,0.0,51.73762520151167,EMPLOYMENT,Categórica con pocas categorías
WRKNJBWKS,57,0,0.0,86.69362298157985,EMPLOYMENT,Numérica con rango documentado
WRKLASTYR2,46,0,0.0,61.04812495044795,EMPLOYMENT,Numérica con rango documentado
WRKSICKMO,36,0,0.0,43.145960516926976,EMPLOYMENT,Numérica con rango documentado
WRKSKIPMO,33,0,0.0,51.62134305874891,EMPLOYMENT,Numérica con rango documentado
IRWRKSTAT,4,0,0.0,48.05359549670975,IMPUTED EMPLOYMENT,Categórica con pocas categorías
IRWRKSTAT18,4,0,0.0,48.05359549670975,IMPUTED EMPLOYMENT,Categórica con pocas categorías
EDFAM18,3,0,0.0,74.89627104310368,HOUSEHOLD COMPOSITION (ROSTER),Categórica con pocas categorías
NRCH17_2,5,1378,3.64174528925183,68.42146991199556,HOUSEHOLD COMPOSITION (ROSTER),Numérica con rango documentado
IRHHSIZ2,6,0,0.0,29.39823991120273,IMPUTED HOUSEHOLD COMPOSITION (ROSTER),Categórica con pocas categorías
IRKI17_2,4,0,0.0,61.6348212162055,IMPUTED HOUSEHOLD COMPOSITION (ROSTER),Categórica con pocas categorías
IRHH65_2,3,0,0.0,80.20296519464046,IMPUTED HOUSEHOLD COMPOSITION (ROSTER),Categórica con pocas categorías
MEDICARE,5,0,0.0,82.26168767673563,HEALTH INSURANCE,Categórica con pocas categorías
CAIDCHIP,6,0,0.0,74.13250878723011,HEALTH INSURANCE,Categórica con pocas categorías
CHAMPUS,5,0,0.0,92.22759586669838,HEALTH INSURANCE,Categórica con pocas categorías
PRVHLTIN,5,0,0.0,56.629403525463154,HEALTH INSURANCE,Categórica con pocas categorías
GRPHLTIN,6,0,0.0,48.177805967388146,HEALTH INSURANCE,Categórica con pocas categorías
