variable,modulo,rol_provisional,n_unicos,pct_nan,uso_provisional,motivo_uso
SEDANYLIF,SEDATIVES SCREENER,Predictor candidato,6,0.0,Predictor candidato,Pendiente de revisión conceptual y estadística
SEDANYREC,SEDATIVES SCREENER,Predictor candidato,6,0.0,Predictor candidato,Pendiente de revisión conceptual y estadística
SVBZOANYYR,SEDATIVES SCREENER,Predictor candidato,2,0.471,Predictor candidato,Pendiente de revisión conceptual y estadística
SEDNMLIF,SEDATIVES,Predictor candidato,8,0.0,Predictor candidato,Pendiente de revisión conceptual y estadística
SEDNMREC,SEDATIVES,Predictor candidato,8,0.0,Predictor candidato,Pendiente de revisión conceptual y estadística
SEDNMINIT,SEDATIVES,Predictor candidato,7,0.0,Predictor candidato,Pendiente de revisión conceptual y estadística
SEDNMAGE,SEDATIVES,Predictor candidato,24,0.0,Predictor candidato,Pendiente de revisión conceptual y estadística
SEDNMYFU,SEDATIVES,Predictor candidato,6,0.0,Predictor candidato,Pendiente de revisión conceptual y estadística
SEDNMMFU,SEDATIVES,Predictor candidato,15,0.0,Predictor candidato,Pendiente de revisión conceptual y estadística
SEDNM30D,SEDATIVES,Predictor candidato,9,0.0,Predictor candidato,Pendiente de revisión conceptual y estadística
SEDNM30FQ,SEDATIVES,Predictor candidato,20,0.0,Predictor candidato,Pendiente de revisión conceptual y estadística
SEDNM30ES,SEDATIVES,Predictor candidato,4,0.0,Predictor candidato,Pendiente de revisión conceptual y estadística
SEDNM30AL,SEDATIVES,Predictor candidato,7,0.0,Predictor candidato,Pendiente de revisión conceptual y estadística
SEDWYNORX,SEDATIVES,Predictor candidato,9,0.0,Predictor candidato,Pendiente de revisión conceptual y estadística
SEDWYGAMT,SEDATIVES,Predictor candidato,9,0.0,Predictor candidato,Pendiente de revisión conceptual y estadística
SEDWYOFTN,SEDATIVES,Predictor candidato,8,0.0,Predictor candidato,Pendiente de revisión conceptual y estadística
SEDWYLNGR,SEDATIVES,Predictor candidato,8,0.0,Predictor candidato,Pendiente de revisión conceptual y estadística
SEDWYOTWY,SEDATIVES,Predictor candidato,8,0.0,Predictor candidato,Pendiente de revisión conceptual y estadística
SEDNMLAST,SEDATIVES,Predictor candidato,16,0.0,Predictor candidato,Pendiente de revisión conceptual y estadística
SEDRSRELX,SEDATIVES,Predictor candidato,8,0.0,Predictor candidato,Pendiente de revisión conceptual y estadística
SEDRSEXPT,SEDATIVES,Predictor candidato,7,0.0,Predictor candidato,Pendiente de revisión conceptual y estadística
SEDRSHIGH,SEDATIVES,Predictor candidato,7,0.0,Predictor candidato,Pendiente de revisión conceptual y estadística
