variable,etiqueta_codebook,modulo,tipo_version,pct_valores_informativos,rol_final_eda
GRPHLTIN,PRIVATE PLAN OFFERED THROUGH EMPLOYER OR UNION,HEALTH INSURANCE,Original u otra,56.479,Predictor principal
HLTINALC,PRIVATE INSURANCE COVERS TRMT FOR ALCOHOL ABUSE/ALCOHOLISM,HEALTH INSURANCE,Original u otra,43.238,Predictor principal
HLTINDRG,PRIVATE INSURANCE COVERS TRMT FOR DRUG ABUSE,HEALTH INSURANCE,Original u otra,43.375,Predictor principal
HLTINMNT,PRIVATE INSURANCE COVERS TRMT FOR MENTAL/EMOTIONAL PROBLEMS,HEALTH INSURANCE,Original u otra,50.358,Predictor principal
HLTINNOS,COVERED BY HEALTH INSUR (NOT OTHERWISE SPECIFIED),HEALTH INSURANCE,Original u otra,12.899,Predictor principal
HLCNOTYR,ANYTIME DID NOT HAVE HEALTH INS/COVER PAST 12 MOS,HEALTH INSURANCE,Original u otra,85.014,Predictor principal
HLCNOTMO,"PAST 12 MOS, HOW MANY MOS W/O COVERAGE",HEALTH INSURANCE,Original u otra,5.281,Predictor principal
HLCLAST,TIME SINCE LAST HAD HEALTH CARE COVERAGE,HEALTH INSURANCE,Original u otra,10.252,Predictor principal
HLLOSRSN,MAIN REASON STOPPED COVERED BY HEALTH INSURANCE,HEALTH INSURANCE,Original u otra,7.808,Predictor principal
HLNVCOST,NEVER HAD HEALTH INSURANCE BECAUSE COST TOO HIGH,HEALTH INSURANCE,Original u otra,2.311,Predictor principal
HLNVOFFR,NEVER HAD HEALTH INSURANCE BECAUSE EMPLOYER DOESN'T OFFER,HEALTH INSURANCE,Original u otra,2.311,Predictor principal
HLNVREF,NEVER HAD HEALTH INSURANCE BC INS COMPANY REFUSED COVERAGE,HEALTH INSURANCE,Original u otra,2.311,Predictor principal
HLNVNEED,NEVER HAD HEALTH INSURANCE BECAUSE DON'T NEED IT,HEALTH INSURANCE,Original u otra,2.311,Predictor principal
HLNVSOR,NEVER HAD HEALTH INSURANCE BECAUSE OF SOME OTHER REASON,HEALTH INSURANCE,Original u otra,2.311,Predictor principal
IRMEDICR,MEDICARE - IMPUTATION REVISED,IMPUTED HEALTH INSURANCE,Imputada,100.0,Predictor principal
IIMEDICR,MEDICARE - IMPUTATION INDICATOR,IMPUTED HEALTH INSURANCE,Imputada,100.0,Excluir de variables de entrada
IRMCDCHP,MEDICAID/CHIP - IMPUTATION REVISED,IMPUTED HEALTH INSURANCE,Imputada,100.0,Predictor principal
IIMCDCHP,MEDICAID/CHIP - IMPUTATION INDICATOR,IMPUTED HEALTH INSURANCE,Imputada,100.0,Excluir de variables de entrada
IRCHMPUS,CHAMPUS - IMPUTATION REVISED,IMPUTED HEALTH INSURANCE,Imputada,100.0,Predictor principal
IICHMPUS,CHAMPUS - IMPUTATION INDICATOR,IMPUTED HEALTH INSURANCE,Imputada,100.0,Excluir de variables de entrada
IRPRVHLT,PRIVATE HEALTH INSURANCE - IMPUTATION REVISED,IMPUTED HEALTH INSURANCE,Imputada,100.0,Predictor principal
IIPRVHLT,PRIVATE HEALTH INSURANCE - IMPUTATION INDICATOR,IMPUTED HEALTH INSURANCE,Imputada,100.0,Excluir de variables de entrada
IROTHHLT,OTHER HEALTH INSURANCE - IMPUTATION REVISED,IMPUTED HEALTH INSURANCE,Imputada,13.734,Predictor principal
IIOTHHLT,OTHER HEALTH INSURANCE - IMPUTATION INDICATOR,IMPUTED HEALTH INSURANCE,Imputada,17.235,Excluir de variables de entrada
HLCALLFG,FLAG IF EVERY FORM OF HEALTH INS REPORTED,RECODED HEALTH INSURANCE,Recodificada,0.036,Excluir de variables de entrada
